
TAMQFLHXC3W#show ap cdp neighbors
Number of neighbors: 146
AP Name                          AP IP                                     Neighbor Name                              Neighbor IP        Neighbor Port
TAMWAP404-757                    192.168.1.58                              TAMQFLHX36W.chtrse.com                     10.254.97.80       TenGigabitEthernet1/0/1
TAMWAP013-156                    192.168.2.192                             TAMQFLHX05W.chtrse.com                     192.168.2.142      TenGigabitEthernet1/0/1
TAMWAP052-127                    192.168.2.91                              TAMQFLHX08W.chtrse.com                     192.168.1.175      TenGigabitEthernet1/0/8
TAMWAP406-759                    192.168.2.28                              TAMQFLHX36W.chtrse.com                     10.254.97.80       TenGigabitEthernet1/0/3
TAMWAP410-763                    192.168.1.77                              TAMQFLHX36W.chtrse.com                     10.254.97.80       TenGigabitEthernet1/0/7
TAMWAP409-762                    192.168.2.31                              TAMQFLHX36W.chtrse.com                     10.254.97.80       TenGigabitEthernet1/0/6
TAMWAP012-155                    192.168.1.253                             TAMQFLHX04W.chtrse.com                     192.168.2.106      TenGigabitEthernet1/0/10
TAMWAP122-325                    192.168.2.159                             TAMQFLHX13W.chtrse.com                     192.168.1.211      TenGigabitEthernet1/0/10
TAMWAP103-306                    192.168.2.223                             TAMQFLHX12W.chtrse.com                     192.168.2.123      TenGigabitEthernet1/0/7
TAMWAP349-616                    192.168.2.18                              TAMQFLHX29W.chtrse.com                     192.168.3.193      TenGigabitEthernet1/0/10
TAMWAP114-317                    192.168.2.137                             TAMQFLHX13W.chtrse.com                     192.168.1.211      TenGigabitEthernet1/0/2
TAMWAP109-312                    192.168.2.139                             TAMQFLHX12W.chtrse.com                     192.168.2.123      TenGigabitEthernet1/0/13
TAMWAP110-313                    192.168.2.102                             TAMQFLHX12W.chtrse.com                     192.168.2.123      TenGigabitEthernet1/0/14
TAMWAP161-363                    192.168.3.167                             TAMQFLHX15W.chtrse.com                     192.168.0.191      TenGigabitEthernet1/0/19
TAMWAP407-760                    192.168.2.33                              TAMQFLHX36W.chtrse.com                     10.254.97.80       TenGigabitEthernet1/0/4
TAMWAP125-328                    192.168.3.251                             TAMQFLHX14W.chtrse.com                     10.254.97.58       TenGigabitEthernet1/0/2
TAMWAP148-350                    192.168.3.209                             TAMQFLHX15W.chtrse.com                     192.168.0.191      TenGigabitEthernet1/0/6
TAMWAP010-153                    192.168.1.254                             TAMQFLHX04W.chtrse.com                     192.168.2.106      TenGigabitEthernet1/0/8
TAMWAP100-303                    192.168.2.224                             TAMQFLHX12W.chtrse.com                     192.168.2.123      TenGigabitEthernet1/0/4
TAMWAP099-302                    192.168.2.61                              TAMQFLHX12W.chtrse.com                     192.168.2.123      TenGigabitEthernet1/0/3
TAMWAP144-346                    192.168.3.203                             TAMQFLHX15W.chtrse.com                     192.168.0.191      TenGigabitEthernet1/0/2
TAMWAP123-326                    192.168.3.22                              TAMQFLHX13W.chtrse.com                     192.168.1.211      TenGigabitEthernet1/0/11
TAMWAP134-337                    192.168.3.127                             TAMQFLHX14W.chtrse.com                     10.254.97.58       TenGigabitEthernet1/0/11
TAMWAP101-304                    192.168.3.224                             TAMQFLHX12W.chtrse.com                     192.168.2.123      TenGigabitEthernet1/0/5
TAMWAP420-345                    192.168.2.182                             TAMQFLHX15W.chtrse.com                     192.168.0.191      TenGigabitEthernet1/0/1
TAMWAP153-355                    192.168.3.211                             TAMQFLHX15W.chtrse.com                     192.168.0.191      TenGigabitEthernet1/0/11
TAMWAP418-341                    192.168.2.177                             TAMQFLHX14W.chtrse.com                     10.254.97.58       TenGigabitEthernet1/0/15
TAMWAP421-347                    192.168.1.235                             TAMQFLHX15W.chtrse.com                     192.168.0.191      TenGigabitEthernet1/0/3
TAMWAP001-144                    192.168.2.246                             TAMQFLHX11W.chtrse.com                     192.168.1.62       TenGigabitEthernet1/0/5

TAMQFLHXC3W#
